"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15 years"	"15"	"Not Hispanic or Latino"	"2186-2"	2	22244	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"16 years"	"16"	"Not Hispanic or Latino"	"2186-2"	3	21833	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"17 years"	"17"	"Hispanic or Latino"	"2135-2"	1	5375	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"17 years"	"17"	"Not Hispanic or Latino"	"2186-2"	3	20926	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"21 years"	"21"	"Hispanic or Latino"	"2135-2"	1	4743	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"22 years"	"22"	"Hispanic or Latino"	"2135-2"	1	4706	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"22 years"	"22"	"Not Hispanic or Latino"	"2186-2"	3	16691	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"23 years"	"23"	"Not Hispanic or Latino"	"2186-2"	1	16520	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"24 years"	"24"	"Not Hispanic or Latino"	"2186-2"	1	16205	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25 years"	"25"	"Not Hispanic or Latino"	"2186-2"	2	16646	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"26 years"	"26"	"Hispanic or Latino"	"2135-2"	1	4383	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"26 years"	"26"	"Not Hispanic or Latino"	"2186-2"	1	15874	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"27 years"	"27"	"Not Hispanic or Latino"	"2186-2"	5	16734	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"28 years"	"28"	"Not Hispanic or Latino"	"2186-2"	1	16850	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"29 years"	"29"	"Not Hispanic or Latino"	"2186-2"	1	17214	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"30 years"	"30"	"Not Hispanic or Latino"	"2186-2"	3	16946	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"31 years"	"31"	"Not Hispanic or Latino"	"2186-2"	3	15832	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"34 years"	"34"	"Not Hispanic or Latino"	"2186-2"	2	17875	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"35 years"	"35"	"Not Hispanic or Latino"	"2186-2"	2	19616	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"36 years"	"36"	"Not Hispanic or Latino"	"2186-2"	2	19018	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"39 years"	"39"	"Not Hispanic or Latino"	"2186-2"	2	19511	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"40 years"	"40"	"Not Hispanic or Latino"	"2186-2"	1	19926	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"42 years"	"42"	"Not Hispanic or Latino"	"2186-2"	2	18492	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"43 years"	"43"	"Not Hispanic or Latino"	"2186-2"	1	17639	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"44 years"	"44"	"Not Hispanic or Latino"	"2186-2"	1	16940	Unreliable
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"45 years"	"45"	"Not Hispanic or Latino"	"2186-2"	1	17754	Unreliable
